Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
(474+810)>-90,>,=,0.8329008221626282,),0.02818109095096588,>,0.023140380159020424,0.8329008221626282,1,0.016099266707897186,4,0.023140380159020424,3,3
(986+-385)>-125,>,=,0.7081312537193298,+,0.06124710291624069,*,0.04979560524225235,0.7081312537193298,1,0.007908159866929054,8,0.017056036740541458,7,NULL
(763+875)>495,>,=,0.47839656472206116,+,0.1932157725095749,-,0.15211597084999084,0.47839656472206116,1,0.009217382408678532,7,0.025303278118371964,5,NULL
(173+443)>329,>,=,0.7722919583320618,+,0.07988961786031723,-,0.04815950617194176,0.7722919583320618,1,0.00806894525885582,6,0.017039256170392036,5,NULL
(-395+130)>-880,>,=,0.9167020916938782,*,0.009955542162060738,(,0.009549740701913834,0.9167020916938782,1,0.0028173523023724556,10,0.0039719631895422935,8,NULL
(-637+109)>-717,>,=,0.9067248702049255,+,0.017737258225679398,-,0.0101086450740695,0.9067248702049255,1,0.003210142720490694,10,0.005705872550606728,6,NULL
(253+174)>-84,>,=,0.783379077911377,>,0.017135024070739746,^,0.016420282423496246,0.783379077911377,1,0.01571517437696457,4,0.017135024070739746,2,2
(880+307)>-784,>,=,0.8800625205039978,>,0.013541480526328087,\approx,0.009863726794719696,0.8800625205039978,1,0.006182955112308264,5,0.013541480526328087,2,2
(663+-555)>-971,>,=,0.7344802021980286,+,0.06592008471488953,*,0.042701248079538345,0.7344802021980286,1,0.006491994019597769,9,0.01005992665886879,6,NULL
(732+783)>349,>,=,0.6300039887428284,+,0.12440962344408035,-,0.12076101452112198,0.6300039887428284,1,0.003541321260854602,7,0.008458982221782207,6,NULL
(228+966)>306,>,=,0.6850214004516602,+,0.10604654997587204,-,0.0728534534573555,0.6850214004516602,1,0.009640824049711227,6,0.024484053254127502,5,NULL
(-104+-73)>-331,>,=,0.8865454196929932,+,0.026376694440841675,*,0.01381444837898016,0.8865454196929932,1,0.0026586418971419334,9,0.0035308892838656902,8,NULL
(691+241)>-712,>,=,0.8895801305770874,>,0.0057213325053453445,*,0.0056698801927268505,0.8895801305770874,1,0.0041839261539280415,6,0.0057213325053453445,2,2
(355+735)>959,>,=,0.9089456796646118,>,0.014790229499340057,<,0.01153719425201416,0.9089456796646118,1,0.01153719425201416,3,0.014790229499340057,2,2
(55+735)>-515,>,=,0.8802801966667175,),0.008706566877663136,>,0.008697940036654472,0.8802801966667175,1,0.005249987822026014,6,0.008697940036654472,3,3
(728+925)>-426,>,=,0.8681454062461853,),0.02316020242869854,<,0.009350850246846676,0.8681454062461853,1,0.009350850246846676,3,0.009205101989209652,4,NULL
(-218+813)>-522,>,=,0.9148255586624146,*,0.013530576601624489,+,0.01272036787122488,0.9148255586624146,1,0.0013593537732958794,12,0.0031901204492896795,9,NULL
(448+-276)>-359,>,=,0.8630627393722534,+,0.039537373930215836,*,0.015319042839109898,0.8630627393722534,1,0.0043646302074193954,8,0.005957532208412886,6,NULL
(441+665)>-158,>,=,0.8725619316101074,>,0.025524750351905823,\approx,0.013693277724087238,0.8725619316101074,1,0.010965789668262005,4,0.025524750351905823,2,2
(836+934)>890,>,=,0.7707716822624207,/,0.06953410804271698,+,0.03346559777855873,0.7707716822624207,1,0.013994350098073483,7,0.028014255687594414,5,NULL
(494+918)>369,>,=,0.5095510482788086,+,0.16545745730400085,-,0.12399567663669586,0.5095510482788086,1,0.010146619752049446,8,0.019494248554110527,6,NULL
(962+-22)>-993,>,=,0.8921624422073364,*,0.010963868349790573,+,0.01043812744319439,0.8921624422073364,1,0.00752034829929471,7,0.008535286411643028,6,NULL
(819+936)>80,>,-,0.27197346091270447,/,0.254295289516449,=,0.23301513493061066,0.23301513493061066,3,0.01199969369918108,7,0.03627414256334305,5,NULL
(132+-703)>-941,>,=,0.7966232299804688,+,0.049009427428245544,-,0.02961522527039051,0.7966232299804688,1,0.005243837367743254,8,0.009297898039221764,6,NULL
(833+-321)>-802,>,=,0.6985448002815247,+,0.0992313027381897,-,0.03955463320016861,0.6985448002815247,1,0.006155533250421286,10,0.008883426897227764,7,NULL
(-452+-328)>-887,>,=,0.8412103652954102,+,0.05069002881646156,-,0.01838962361216545,0.8412103652954102,1,0.001909030368551612,11,0.002285906346514821,8,NULL
(890+-505)>-141,>,=,0.8513543605804443,+,0.03591759130358696,-,0.019722692668437958,0.8513543605804443,1,0.008592725731432438,6,0.016939358785748482,4,NULL
(-184+704)>237,>,=,0.40411484241485596,/,0.1534101366996765,+,0.10634967684745789,0.40411484241485596,1,0.013802950270473957,8,0.030904186889529228,6,NULL
(356+32)>-183,>,=,0.9326676726341248,>,0.014440341852605343,<,0.009416505694389343,0.9326676726341248,1,0.009416505694389343,3,0.014440341852605343,2,2
(350+-41)>-722,>,=,0.928602397441864,/,0.010351056233048439,*,0.009033911861479282,0.928602397441864,1,0.0027989274822175503,9,0.004993902985006571,5,NULL
(688+-408)>-653,>,=,0.8558620810508728,+,0.02958538942039013,/,0.021016810089349747,0.8558620810508728,1,0.0027987731155008078,8,0.0045157852582633495,7,NULL
(-312+858)>-545,>,=,0.8783681392669678,+,0.023988813161849976,-,0.017051422968506813,0.8783681392669678,1,0.0024293723981827497,11,0.004994415212422609,8,NULL
(827+63)>-716,>,=,0.8551890850067139,>,0.012143089435994625,<,0.011440970934927464,0.8551890850067139,1,0.011440970934927464,3,0.012143089435994625,2,2
(-358+910)>-220,>,=,0.911106526851654,-,0.012940039858222008,),0.01210334524512291,0.911106526851654,1,0.003265957348048687,10,0.008213173598051071,5,NULL
(119+930)>-132,>,=,0.919445812702179,>,0.011204352602362633,),0.008432027883827686,0.919445812702179,1,0.006405999884009361,4,0.011204352602362633,2,2
(614+93)>-754,>,=,0.8849760890007019,>,0.01406096015125513,<,0.007335177157074213,0.8849760890007019,1,0.007335177157074213,3,0.01406096015125513,2,2
(-836+459)>-676,>,=,0.8896826505661011,+,0.024201257154345512,-,0.012228546664118767,0.8896826505661011,1,0.004011618904769421,10,0.00636687595397234,7,NULL
(759+-781)>-964,>,=,0.8967886567115784,+,0.024534810334444046,/,0.010931004770100117,0.8967886567115784,1,0.004240662325173616,7,0.00517420656979084,6,NULL
(897+111)>-977,>,=,0.7938380241394043,),0.01404894981533289,\equiv,0.010567586869001389,0.7938380241394043,1,0.006357876118272543,6,0.006724182050675154,5,NULL
(691+673)>-699,>,=,0.9205986261367798,>,0.0062322961166501045,),0.004770769737660885,0.9205986261367798,1,0.002952591050416231,7,0.0062322961166501045,2,2
(878+42)>390,>,=,0.7269635200500488,/,0.05260441452264786,>,0.04672501981258392,0.7269635200500488,1,0.03422708436846733,5,0.04672501981258392,3,3
