Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\boxed{783}=783,=,=,0.2567718029022217,\times,0.13018842041492462,+,0.10147742182016373,0.2567718029022217,1,0.02004322037100792,10,0.02363640069961548,9,1
\boxed{-848}=-848,=,=,0.5549092292785645,\to,0.10688644647598267,\times,0.05240236967802048,0.5549092292785645,1,0.008556242100894451,13,0.004838407039642334,18,1
\boxed{43}=43,=,=,0.21291597187519073,\cdot,0.1655588001012802,+,0.087581105530262,0.21291597187519073,1,0.007997044362127781,20,0.014137939549982548,13,1
\boxed{945}=945,=,\times,0.18756414949893951,\cdot,0.15107133984565735,=,0.11940298229455948,0.11940298229455948,3,0.02176695317029953,11,0.028469113633036613,9,3
\boxed{509}=509,=,\times,0.22430609166622162,-,0.14569291472434998,=,0.12694747745990753,0.12694747745990753,3,0.017573250457644463,11,0.06197008863091469,5,3
\boxed{745}=745,=,\times,0.14406418800354004,+,0.1355452835559845,-,0.11912962049245834,0.11535372585058212,4,0.021310189738869667,12,0.03585280478000641,9,NULL
\boxed{554}=554,=,-,0.17837175726890564,\times,0.16465774178504944,+,0.12564504146575928,0.12513992190361023,4,0.01262666005641222,13,0.03994021564722061,6,NULL
\boxed{415}=415,=,=,0.23635682463645935,\times,0.1972186118364334,\cdot,0.09937730431556702,0.23635682463645935,1,0.008755875751376152,18,0.009847783483564854,14,1
\boxed{192}=192,=,=,0.22240398824214935,\times,0.1713840216398239,\cdot,0.15270625054836273,0.22240398824214935,1,0.030647436156868935,7,0.0713556557893753,6,1
\boxed{-835}=-835,=,=,0.4822092056274414,\to,0.10850384831428528,\times,0.06620314717292786,0.4822092056274414,1,0.013810419477522373,11,0.010053788311779499,13,1
\boxed{993}=993,=,=,0.24995815753936768,\times,0.14021582901477814,+,0.1144283264875412,0.24995815753936768,1,0.02332555130124092,8,0.037319619208574295,6,1
\boxed{556}=556,=,+,0.15605103969573975,\times,0.14604993164539337,=,0.13286638259887695,0.13286638259887695,3,0.015287891961634159,12,0.03081684187054634,7,3
\boxed{-884}=-884,=,=,0.5290956497192383,\to,0.1407962590456009,\times,0.06072353571653366,0.5290956497192383,1,0.008690579794347286,12,0.00591176375746727,16,1
\boxed{516}=516,=,\times,0.18953809142112732,\cdot,0.12672214210033417,=,0.1256469339132309,0.1256469339132309,3,0.021429961547255516,10,0.044707320630550385,6,3
\boxed{709}=709,=,\times,0.2176755666732788,=,0.15707018971443176,+,0.12247374653816223,0.15707018971443176,2,0.020362945273518562,9,0.04140652343630791,6,2
\boxed{-899}=-899,=,=,0.5780635476112366,\to,0.09182195365428925,\times,0.03026663325726986,0.5780635476112366,1,0.015942536294460297,10,0.009159761480987072,14,1
\boxed{390}=390,=,=,0.27177736163139343,\cdot,0.14512385427951813,\times,0.1450834572315216,0.27177736163139343,1,0.017842676490545273,9,0.021148739382624626,8,1
\boxed{506}=506,=,\times,0.24013997614383698,+,0.13535161316394806,=,0.11141303181648254,0.11141303181648254,3,0.018223434686660767,11,0.051471926271915436,6,3
\boxed{-202}=-202,=,=,0.6298139691352844,\times,0.09690405428409576,\to,0.06233113259077072,0.6298139691352844,1,0.007167033851146698,12,0.0046915519051253796,14,1
\boxed{919}=919,=,+,0.1677045226097107,\times,0.1633230447769165,=,0.14933769404888153,0.14933769404888153,3,0.017884377390146255,10,0.03641834110021591,6,3
\boxed{-412}=-412,=,=,0.6044100522994995,\to,0.08820618689060211,\times,0.0376330204308033,0.6044100522994995,1,0.012944366782903671,9,0.007248335983604193,15,1
\boxed{797}=797,=,=,0.2621954381465912,+,0.1611836850643158,\times,0.10657554119825363,0.2621954381465912,1,0.014545714482665062,12,0.015630170702934265,10,1
\boxed{915}=915,=,\times,0.14970332384109497,+,0.14844146370887756,=,0.14663457870483398,0.14663457870483398,3,0.01988663524389267,11,0.04108855873346329,6,3
