Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
395>-773,>,##9,0.15348908305168152,##7,0.14172275364398956,##3,0.11124306917190552,0.00031182036036625504,78,3.69446279364638e-05,269,1.3012391718802974e-05,501,NULL
636>15,>,.,0.09094831347465515,##6,0.06400371342897415,6,0.0580449141561985,0.025060521438717842,8,0.001417907071299851,93,0.002171436557546258,72,NULL
528>253,>,",",0.14166833460330963,=,0.10611540079116821,/,0.03566594049334526,0.10611540079116821,2,0.012681972235441208,16,0.006377470679581165,24,NULL
454>4,>,^,0.19308353960514069,-,0.1554296910762787,/,0.1331815868616104,0.03947669640183449,8,0.002707857172936201,20,0.007416956592351198,13,NULL
-62>-134,>,-,0.07633630186319351,##6,0.04643790051341057,##8,0.043705739080905914,0.013071289286017418,13,0.0020060264505445957,98,0.0010038992622867227,172,NULL
845>-231,>,##7,0.11712858825922012,##6,0.09991336613893509,##9,0.07893097400665283,0.008935721591114998,13,0.0013323565945029259,99,0.0002301676431670785,282,NULL
-470>-691,>,##5,0.08701357990503311,##9,0.07941240072250366,##6,0.0779864564538002,0.01620887592434883,12,0.0005884593119844794,122,0.0002843518741428852,183,NULL
352>-463,>,7,0.04624601826071739,-,0.045360296964645386,3,0.04337971284985542,0.043095920234918594,4,0.0011751380516216159,126,0.0005758621264249086,187,NULL
-690>-916,>,##6,0.08535321056842804,##8,0.0715596154332161,##4,0.07048396021127701,0.025420473888516426,10,0.0006881065783090889,140,0.0002976756659336388,232,NULL
-60>-621,>,##1,0.3074756860733032,##9,0.12469492107629776,##7,0.10318316519260406,0.0005403441609814763,59,0.00014813071175012738,78,4.5018714445177466e-05,110,NULL
54>-298,>,##9,0.14315955340862274,##7,0.12651413679122925,##8,0.12264708429574966,0.000371156056644395,71,0.00014074824866838753,94,2.767476144072134e-05,259,NULL
880>-248,>,##8,0.10157405585050583,=,0.08170033991336823,##6,0.07359747588634491,0.08170033991336823,2,0.0057485224679112434,21,0.0023964436259120703,51,NULL
-250>-518,>,##0,0.29479867219924927,-,0.10730143636465073,##8,0.041573889553546906,0.031122485175728798,10,0.000608569011092186,75,0.0004044191155117005,108,NULL
962>84,>,=,0.2903359830379486,*,0.16509778797626495,/,0.10260945558547974,0.2903359830379486,1,0.03534965589642525,7,0.05697587877511978,5,NULL
712>-266,>,-,0.06802164018154144,3,0.043005842715501785,4,0.030698200687766075,0.02645977959036827,5,0.0014294922584667802,113,0.0009827527683228254,143,NULL
413>-773,>,##9,0.09983934462070465,=,0.05749449133872986,-,0.030293522402644157,0.05749449133872986,2,0.0022834399715065956,69,0.0010897101601585746,140,NULL
-151>-879,>,##9,0.12366055697202682,##7,0.10805808752775192,##5,0.1038304790854454,0.0015514013357460499,31,0.00018669417477212846,190,6.112176197348163e-05,387,NULL
272>-806,>,##9,0.12224027514457703,##8,0.11240207403898239,##6,0.11131780594587326,0.0006156130111776292,88,0.00010027620737673715,366,5.0210404879180714e-05,505,NULL
-10>-314,>,=,0.5280444622039795,##x,0.05319984629750252,*,0.04544588923454285,0.5280444622039795,1,0.011026722379028797,8,0.005256720818579197,19,NULL
-438>-889,>,##9,0.14614662528038025,##4,0.09863095730543137,##7,0.09423062205314636,0.0076536620035767555,14,0.0005939024849794805,141,0.00016888875688891858,283,NULL
-19>-810,>,=,0.10767648369073868,##9,0.09817055612802505,##8,0.03459911793470383,0.10767648369073868,1,0.006666224449872971,24,0.001402060268446803,93,NULL
834>-784,>,##9,0.2580946683883667,=,0.10605409741401672,##8,0.05893681198358536,0.10605409741401672,2,0.0019655225332826376,49,0.0014212998794391751,78,NULL
511>468,>,",",0.1981482207775116,=,0.0842030718922615,*,0.059657659381628036,0.0842030718922615,2,0.01703733019530773,9,0.01470321323722601,11,NULL
907>-168,>,##7,0.06748870760202408,##6,0.05936944857239723,##9,0.057651907205581665,0.03464158624410629,7,0.002678017830476165,46,0.0007857654127292335,179,NULL
-328>-712,>,=,0.06152442842721939,##8,0.05692440643906593,##4,0.05467205494642258,0.06152442842721939,1,0.001723910798318684,77,0.000742090109270066,165,NULL
219>-654,>,##6,0.13467077910900116,##4,0.10899203270673752,##9,0.09660497307777405,0.0016704199369996786,52,9.687167766969651e-05,233,4.727765190182254e-05,379,NULL
930>738,>,=,0.14970192313194275,",",0.13856683671474457,/,0.08095094561576843,0.14970192313194275,1,0.039958447217941284,8,0.07239788770675659,5,NULL
-99>-574,>,##9,0.30956289172172546,##8,0.09716029465198517,##4,0.0948677659034729,0.00669132312759757,12,0.00022961963259149343,97,7.030338019831106e-05,135,NULL
508>-734,>,##9,0.09859737753868103,=,0.08365592360496521,##8,0.06988624483346939,0.08365592360496521,2,0.006869978737086058,15,0.0018385545117780566,63,NULL
738>67,>,.,0.1255202293395996,/,0.12346401810646057,=,0.09500569105148315,0.09500569105148315,3,0.0038908408023416996,32,0.007124760653823614,21,NULL
300>-137,>,=,0.1354379653930664,##x,0.04700144752860069,##n,0.03921448066830635,0.1354379653930664,1,0.010610723868012428,19,0.008309483528137207,21,NULL
953>60,>,/,0.12184768915176392,=,0.08334663510322571,.,0.07448527216911316,0.08334663510322571,2,0.054760731756687164,5,0.054034095257520676,6,NULL
-425>-862,>,##6,0.15303422510623932,##2,0.11815794557332993,##3,0.07398621737957001,0.0029485265258699656,22,6.382077117450535e-05,372,4.770928717334755e-05,435,NULL
729>-936,>,##9,0.12187595665454865,##6,0.10141675919294357,##8,0.09306640177965164,0.0020573600195348263,41,0.00042511834180913866,160,0.00011339937918819487,332,NULL
-488>-861,>,##9,0.09122547507286072,##4,0.07829009741544724,##8,0.07180145382881165,0.018967825919389725,12,0.001297303824685514,86,0.00044457666808739305,199,NULL
521>-250,>,=,0.17663924396038055,",",0.03459218516945839,-,0.03363801911473274,0.17663924396038055,1,0.021885128691792488,7,0.009854377247393131,16,NULL
503>62,>,=,0.16311775147914886,/,0.12232985347509384,.,0.11972012370824814,0.16311775147914886,1,0.032836440950632095,10,0.04302271455526352,8,NULL
927>-965,>,##9,0.1419980227947235,##8,0.09920133650302887,##6,0.07883735746145248,0.0072717368602752686,15,0.002738945186138153,54,0.0006693644681945443,106,NULL
825>201,>,=,0.18800987303256989,>,0.09016305208206177,*,0.07130753993988037,0.18800987303256989,1,0.06382890045642853,6,0.09016305208206177,2,2
646>438,>,*,0.14133070409297943,/,0.12937411665916443,=,0.08621294796466827,0.08621294796466827,3,0.008691488765180111,15,0.005770753603428602,21,NULL
-492>-884,>,=,0.1778770238161087,-,0.06330350786447525,",",0.0575176440179348,0.1778770238161087,1,0.0032761378679424524,50,0.001666399883106351,73,NULL
982>388,>,=,0.20259706676006317,*,0.10437260568141937,+,0.08823461830615997,0.20259706676006317,1,0.03926409035921097,8,0.07115010917186737,6,NULL
423>-53,>,=,0.12407273054122925,##e,0.07129284739494324,##x,0.05317061394453049,0.12407273054122925,1,0.009366593323647976,14,0.004310464486479759,44,NULL
927>141,>,=,0.14112912118434906,/,0.13667652010917664,.,0.13007786870002747,0.14112912118434906,1,0.016198350116610527,9,0.02550528198480606,7,NULL
671>-97,>,##9,0.05381570756435394,-,0.041077692061662674,##e,0.030050834640860558,0.01519115548580885,10,0.003496298799291253,55,0.001788684050552547,108,NULL
767>10,>,.,0.12381147593259811,/,0.07756718248128891,6,0.04998268187046051,0.009177327156066895,20,0.001528484164737165,79,0.0012880717404186726,89,NULL
121>-200,>,-,0.16998590528964996,=,0.09676416218280792,##0,0.05889527499675751,0.09676416218280792,2,0.01242600753903389,11,0.003498883219435811,37,NULL
830>532,>,",",0.11878736317157745,*,0.10619528591632843,/,0.06909850984811783,0.058765213936567307,4,0.008210153318941593,18,0.00889918114989996,17,NULL
10>-396,>,0,0.08905436843633652,-,0.07257506996393204,##e,0.057154327630996704,0.017981380224227905,14,0.002550360281020403,56,0.000545412243809551,151,NULL
-334>-502,>,",",0.12358885258436203,=,0.08355293422937393,-,0.05100211873650551,0.08355293422937393,2,0.003672938561066985,38,0.0016395128332078457,67,NULL
-302>-935,>,##4,0.2927137315273285,##5,0.21592189371585846,##3,0.08084555715322495,0.0007900666678324342,47,0.00015681363584008068,137,5.091049024485983e-05,260,NULL
860>-105,>,##5,0.08484993129968643,##8,0.07953418046236038,##4,0.07528246194124222,0.015444881282746792,13,0.004494418855756521,27,0.001625414122827351,68,NULL
544>187,>,=,0.1050427258014679,|,0.09570284932851791,*,0.0867326408624649,0.1050427258014679,1,0.0414273627102375,8,0.038338642567396164,9,NULL
556>380,>,=,0.21093828976154327,*,0.0807434692978859,|,0.06248759850859642,0.21093828976154327,1,0.057493001222610474,5,0.05195830762386322,8,NULL
598>-957,>,##9,0.1674874871969223,##7,0.11323695629835129,##8,0.0718085765838623,0.0008907964802347124,84,0.0006369714974425733,103,0.00017097558884415776,270,NULL
928>-552,>,##9,0.11347062140703201,##4,0.10255132615566254,##8,0.09725479781627655,0.03390945866703987,9,0.004583652596920729,25,0.001801579142920673,65,NULL
392>84,>,=,0.2687717378139496,*,0.14218899607658386,/,0.060277387499809265,0.2687717378139496,1,0.044922344386577606,5,0.04453445225954056,6,NULL
