Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
(474+810)>-90,>,1989,0.1618712842464447,1988,0.06010810285806656,89,0.05655250698328018,3.6310368159320205e-05,678,5.023730409448035e-05,571,6.859681161586195e-05,486,NULL
(986+-385)>-125,>,124,0.09279085695743561,125,0.05826929211616516,119,0.05517236143350601,9.205763490172103e-05,327,0.0008112189825624228,115,0.00022486256784759462,208,NULL
(763+875)>495,>,§,0.20794999599456787,",",0.1212974265217781,;,0.09715656191110611,0.015063437633216381,10,0.0003547694650478661,123,0.0014189912471920252,37,NULL
(173+443)>329,>,",",0.27587801218032837,:,0.25706592202186584,;,0.11786026507616043,0.011945347301661968,8,0.00017854700854513794,91,0.0010154217015951872,24,NULL
(-395+130)>-880,>,(,0.24952496588230133,-,0.0804252177476883,;,0.058559153228998184,0.0038904447574168444,26,0.0006804937147535384,99,0.0005579669959843159,118,NULL
(-637+109)>-717,>,.,0.08475437015295029,(,0.07510489970445633,-,0.04580078274011612,0.007207058370113373,22,0.003989747725427151,35,0.00114154361654073,96,NULL
(253+174)>-84,>,83,0.14832374453544617,81,0.10270626842975616,79,0.07864908874034882,0.00014096916129346937,292,7.171434117481112e-05,424,0.00011076198279624805,329,NULL
(880+307)>-784,>,-,0.11964727193117142,1,0.04172467440366745,7,0.028924116864800453,0.0005776413017883897,190,0.0012516662245616317,87,0.0005933951470069587,185,NULL
(663+-555)>-971,>,-,0.09152881056070328,555,0.06717479228973389,",",0.04478255286812782,0.0011891293106600642,95,0.0031379396095871925,46,0.0025936239399015903,56,NULL
(732+783)>349,>,:,0.37400493025779724,-,0.15447726845741272,§,0.08433360606431961,0.01476843748241663,9,8.674140553921461e-05,188,0.0012403159635141492,24,NULL
(228+966)>306,>,",",0.25984373688697815,;,0.2115090936422348,:,0.10349007695913315,0.021571919322013855,8,0.0002710350090637803,70,0.0016591004095971584,17,NULL
(-104+-73)>-331,>,(,0.10935854911804199,-,0.04109268635511398,.,0.038710545748472214,0.00981885939836502,18,0.0014626018237322569,76,0.0014416370540857315,78,NULL
(691+241)>-712,>,700,0.10115009546279907,70,0.04677126184105873,-,0.035072408616542816,0.0008217532886192203,127,0.0015217660693451762,75,0.0008905745926313102,121,NULL
(355+735)>959,>,",",0.2151152640581131,§,0.17205889523029327,:,0.09436585754156113,0.012600534595549107,10,0.0002073399373330176,100,0.00340551370754838,15,NULL
(55+735)>-515,>,51,0.09357442706823349,50,0.09231814742088318,49,0.045334815979003906,0.0004777162685059011,209,0.0005236754077486694,196,0.0015699801733717322,77,NULL
(728+925)>-426,>,.,0.03931988775730133,-,0.03306656703352928,",",0.02718234993517399,0.00036205322248861194,413,0.0008539514965377748,220,0.000506943732034415,320,NULL
(-218+813)>-522,>,",",0.08034422993659973,.,0.06696763634681702,;,0.053916674107313156,0.0066419122740626335,25,0.001038026879541576,84,0.0008074218640103936,114,NULL
(448+-276)>-359,>,-,0.028561187908053398,300,0.017660509794950485,",",0.015613313764333725,0.0005401995149441063,326,0.0013350240187719464,152,0.001152306911535561,181,NULL
(441+665)>-158,>,157,0.17067916691303253,155,0.11263702064752579,156,0.08472639322280884,2.4353110347874463e-05,514,0.0005162348388694227,99,0.00012718858488369733,223,NULL
(836+934)>890,>,.,0.12940728664398193,:,0.12873925268650055,",",0.12267129868268967,0.01668718457221985,10,0.0005532991490326822,67,0.0035765934735536575,20,NULL
(494+918)>369,>,:,0.1958998739719391,-,0.19058836996555328,;,0.11458199471235275,0.015493548475205898,9,0.00012975031859241426,184,0.002465663943439722,20,NULL
(962+-22)>-993,>,98,0.14179517328739166,99,0.06631364673376083,1998,0.04209977388381958,0.0010783349862322211,75,0.006050264462828636,26,0.0008740346529521048,88,NULL
(819+936)>80,>,.,0.19176961481571198,:,0.12056443840265274,-,0.12021569162607193,0.016750650480389595,10,0.00043172590085305274,100,0.0018329505110159516,29,NULL
(132+-703)>-941,>,900,0.0740877240896225,950,0.05314383655786514,850,0.05227528139948845,8.456814975943416e-05,688,0.0031943810172379017,44,0.0002500114787835628,286,NULL
(833+-321)>-802,>,802,0.09550432860851288,80,0.0674760565161705,1,0.05430511012673378,0.0002948701730929315,306,0.0024727985728532076,59,0.0018942805472761393,73,NULL
(-452+-328)>-887,>,(,0.07408780604600906,.,0.05105152353644371,-,0.043388787657022476,0.003527172142639756,43,0.002147628227248788,59,0.001087068347260356,114,NULL
(890+-505)>-141,>,140,0.13058575987815857,141,0.10619281232357025,139,0.06612060964107513,5.8378054745844565e-06,1035,1.5942916434141807e-05,513,3.18376551149413e-05,352,NULL
(-184+704)>237,>,",",0.2490301877260208,:,0.14962466061115265,§,0.12375973165035248,0.048893172293901443,7,0.0002643304760567844,84,0.0031678664963692427,13,NULL
(356+32)>-183,>,183,0.29560136795043945,184,0.058062270283699036,181,0.04684721678495407,0.0001661135465838015,245,0.00031757826218381524,174,0.0001000643169390969,324,NULL
(350+-41)>-722,>,-,0.10360238701105118,:,0.03655590862035751,",",0.028834979981184006,0.0025579065550118685,39,0.0010720642749220133,142,0.003778306068852544,26,NULL
(688+-408)>-653,>,-,0.051476117223501205,",",0.042427580803632736,1,0.02527686581015587,0.001087423413991928,129,0.0013575167395174503,110,0.0009792858036234975,150,NULL
(-312+858)>-545,>,.,0.10711709409952164,",",0.08568636327981949,;,0.07733885943889618,0.007424954790621996,22,0.0022025643847882748,44,0.0015173754654824734,56,NULL
(827+63)>-716,>,700,0.2828252911567688,71,0.05221802368760109,1971,0.035750165581703186,0.0002635756100062281,233,0.0006002444424666464,115,0.0007456446764990687,101,NULL
(-358+910)>-220,>,.,0.129745751619339,(,0.11520615220069885,-,0.058234360069036484,0.007537433411926031,14,0.0016565537080168724,48,0.0006933149415999651,108,NULL
(119+930)>-132,>,131,0.13026709854602814,127,0.08798246830701828,121,0.086139976978302,2.4713901893846923e-06,978,0.00014261651085689664,87,2.2370320948539302e-05,208,NULL
(614+93)>-754,>,75,0.06679181009531021,-,0.05481897294521332,1,0.034021034836769104,0.0007012643618509173,185,0.002297041704878211,64,0.001842685742303729,81,NULL
(-836+459)>-676,>,.,0.1067151129245758,(,0.08897379785776138,-,0.0448191836476326,0.003687407588586211,34,0.0020649577490985394,48,0.0008866098360158503,102,NULL
(759+-781)>-964,>,95,0.06809667497873306,800,0.053587958216667175,-,0.04777548089623451,0.00036464055301621556,200,0.011464905925095081,15,0.0010563904652372003,105,NULL
