Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\boxed{783}=783,=,=,0.46054384112358093,^,0.08020052313804626,|,0.06587671488523483,0.46054384112358093,1,0.007200566120445728,13,0.015677189454436302,11,1
\boxed{-848}=-848,=,=,0.12628395855426788,",",0.09457924962043762,|,0.042741809040308,0.12628395855426788,1,0.016195375472307205,13,0.019702741876244545,10,1
\boxed{43}=43,=,=,0.23504690825939178,^,0.18879778683185577,\,0.08955548703670502,0.23504690825939178,1,0.008154780603945255,14,0.011633412912487984,13,1
\boxed{945}=945,=,=,0.476649671792984,^,0.09747062623500824,|,0.05677647143602371,0.476649671792984,1,0.010348977521061897,13,0.014853391796350479,12,1
\boxed{509}=509,=,=,0.4008263647556305,^,0.0973760113120079,|,0.07185345143079758,0.4008263647556305,1,0.005438829772174358,14,0.01711238920688629,11,1
\boxed{745}=745,=,=,0.4809146225452423,^,0.0800045058131218,|,0.06274441629648209,0.4809146225452423,1,0.00976809486746788,13,0.017303278669714928,11,1
\boxed{554}=554,=,=,0.4185100495815277,^,0.13283608853816986,_,0.07744234800338745,0.4185100495815277,1,0.004485373850911856,15,0.013090074062347412,11,1
\boxed{415}=415,=,=,0.3129301965236664,\,0.15225088596343994,^,0.0938907042145729,0.3129301965236664,1,0.004219995345920324,18,0.007764528505504131,13,1
\boxed{192}=192,=,=,0.4101952910423279,{,0.13790598511695862,\,0.07807502150535583,0.4101952910423279,1,0.01232095342129469,12,0.008390193805098534,14,1
\boxed{-835}=-835,=,=,0.15457502007484436,",",0.08047386258840561,{,0.06713936477899551,0.15457502007484436,1,0.02151688002049923,11,0.025273814797401428,8,1
\boxed{993}=993,=,=,0.4725419282913208,|,0.0762651264667511,^,0.07332589477300644,0.4725419282913208,1,0.011264576576650143,13,0.014241565018892288,12,1
\boxed{556}=556,=,=,0.423734188079834,^,0.12127644568681717,_,0.06484152376651764,0.423734188079834,1,0.005557268392294645,15,0.01071480754762888,12,1
