Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
395>-773,>,##1,0.10720774531364441,##0,0.10585621744394302,##5,0.08664222806692123,0.0002682351623661816,88,0.00038334575947374105,63,0.00016269191110040992,128,NULL
636>15,>,-,0.8942352533340454,/,0.02863597311079502,.,0.019388249143958092,0.0005629952647723258,11,6.145302177174017e-05,46,7.040129275992513e-05,41,NULL
528>253,>,-,0.9764255881309509,",",0.015582788735628128,:,0.001956851687282324,9.141430928139016e-05,14,3.5512744034349453e-06,66,4.631735009752447e-06,56,NULL
454>4,>,-,0.6356580853462219,/,0.13812197744846344,.,0.11542768776416779,0.001343241659924388,10,6.106292858021334e-05,64,0.00012015652464469895,35,NULL
-62>-134,>,##2,0.1812010258436203,##3,0.14077377319335938,##1,0.10916128009557724,4.8959976993501186e-05,202,1.3540030522563029e-05,595,1.2807553503080271e-05,619,NULL
845>-231,>,-,0.26554396748542786,+,0.06767842173576355,.,0.0575956329703331,0.0008199608419090509,90,0.0009825220331549644,81,6.164461956359446e-05,742,NULL
-470>-691,>,.,0.11590112000703812,##2,0.0882674902677536,",",0.08746706694364548,9.493458492215723e-05,392,4.293650999898091e-05,853,6.248428690014407e-05,580,NULL
352>-463,>,##4,0.19225533306598663,##9,0.16800150275230408,##3,0.16039562225341797,1.4457777979259845e-05,180,1.880773743323516e-05,155,2.6565498956188094e-06,724,NULL
-690>-916,>,",",0.16411390900611877,.,0.12088002264499664,##2,0.0656227171421051,7.68164754845202e-05,512,0.00011256853758823127,373,7.562980317743495e-05,524,NULL
-60>-621,>,##1,0.17304714024066925,##2,0.1486472338438034,##3,0.11118660122156143,8.614498483439093e-07,311,6.16944646480988e-07,426,1.5907933459402557e-07,1798,NULL
54>-298,>,##8,0.28757232427597046,##9,0.21058833599090576,##7,0.11004126071929932,1.1593490256700534e-07,429,8.707465894985944e-07,119,7.101606058768084e-08,665,NULL
880>-248,>,##2,0.18186211585998535,##1,0.17720527946949005,##0,0.11898588389158249,5.64041874895338e-05,122,3.33046009473037e-05,181,2.9374659789027646e-06,1525,NULL
-250>-518,>,",",0.23237022757530212,.,0.22796273231506348,;,0.15559931099414825,0.0002685300132725388,84,6.742161349393427e-05,274,4.5079057599650696e-05,404,NULL
962>84,>,-,0.9597208499908447,/,0.02370550110936165,.,0.00439977552741766,0.0001460608036722988,12,1.2004055861325469e-05,40,2.4983959519886412e-05,24,NULL
712>-266,>,",",0.22614197432994843,-,0.14977936446666718,.,0.05513254925608635,0.00055694644106552,101,0.0005413836915977299,104,0.00011667391663650051,422,NULL
413>-773,>,.,0.054774560034275055,-,0.051491353660821915,",",0.03615633025765419,0.0008199565345421433,149,0.0007768284413032234,154,0.000717173854354769,163,NULL
-151>-879,>,##3,0.13932861387729645,##9,0.10598551481962204,##4,0.09866677224636078,2.8354197638691403e-06,312,1.5001422752902727e-06,639,1.075163709174376e-06,882,NULL
272>-806,>,##9,0.21072076261043549,##7,0.1496642678976059,##3,0.10917442291975021,1.6416558992204955e-06,183,2.3778695776854875e-06,156,2.0646358223075367e-07,926,NULL
-10>-314,>,##a,0.25089484453201294,##c,0.12932337820529938,##p,0.07932256907224655,0.00013538019265979528,325,0.0009385474841110408,66,0.0001249697816092521,344,NULL
-438>-889,>,.,0.15414036810398102,",",0.1459524780511856,;,0.11862695962190628,4.740676376968622e-05,747,4.944095417158678e-05,716,7.066245598252863e-05,501,NULL
-19>-810,>,.,0.16641418635845184,-,0.13332459330558777,##c,0.04418594017624855,0.0006597471656277776,120,0.0008120100246742368,98,0.0005242910701781511,144,NULL
834>-784,>,-,0.09999625384807587,.,0.08026868104934692,",",0.07532767206430435,0.00030856800731271505,300,0.0017640021396800876,69,0.0003159782791044563,294,NULL
511>468,>,-,0.9128161668777466,",",0.051689211279153824,;,0.007635823450982571,7.553414616268128e-05,29,4.651742074202048e-06,189,1.4006500350660644e-05,85,NULL
907>-168,>,##1,0.30293577909469604,##3,0.11730797588825226,##7,0.11541783064603806,1.8190945411333814e-05,363,5.019741001888178e-05,181,5.061087449576007e-06,982,NULL
-328>-712,>,",",0.1708768755197525,.,0.11650345474481583,;,0.08244957029819489,0.00012044493632856756,389,4.736829941975884e-05,1015,4.404406718094833e-05,1092,NULL
219>-654,>,##9,0.26043540239334106,##3,0.15505696833133698,##5,0.13325798511505127,8.004542178241536e-05,85,3.0363251426024362e-05,176,5.861234967596829e-06,640,NULL
930>738,>,-,0.9747373461723328,",",0.008896498009562492,/,0.006115226075053215,5.3367864893516526e-05,21,5.445021997729782e-06,76,1.1695948160195258e-05,52,NULL
-99>-574,>,##1,0.16051295399665833,##0,0.138563871383667,##6,0.09203051775693893,2.978855263791047e-05,205,1.739145773171913e-05,402,1.2541790056275204e-05,581,NULL
508>-734,>,##9,0.17737987637519836,##3,0.17721772193908691,##1,0.13793085515499115,3.8203932490432635e-05,176,4.3402713345130906e-05,163,1.2054636499669868e-05,488,NULL
738>67,>,-,0.9702041149139404,/,0.01097301859408617,.,0.005221748258918524,0.00011322255886625499,14,1.0338799256714992e-05,65,1.9846698705805466e-05,40,NULL
300>-137,>,##1,0.19621828198432922,##3,0.1139698326587677,##2,0.08323552459478378,4.8818114009918645e-05,312,0.0001503265812061727,140,4.6826567995594814e-05,317,NULL
953>60,>,-,0.9280205368995667,/,0.043868642300367355,.,0.007238930091261864,0.0003130377153865993,10,1.4706804904562887e-05,70,4.144431295571849e-05,28,NULL
-425>-862,>,",",0.15118788182735443,.,0.14712008833885193,;,0.07896143198013306,5.3196130465948954e-05,330,3.066005956497975e-05,548,3.323167038615793e-05,508,NULL
729>-936,>,##3,0.1684243083000183,##1,0.16112640500068665,##9,0.14880001544952393,1.1127538527944125e-05,242,4.561732930596918e-05,109,3.6711946904688375e-06,609,NULL
-488>-861,>,##2,0.1549832969903946,##1,0.12341530621051788,##9,0.11877849698066711,1.4727144844073337e-05,967,1.4448620277107693e-05,983,1.291771241085371e-05,1104,NULL
