Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
(474+810)>-90,>,],0.333017498254776,+,0.2504945993423462,=,0.10803218930959702,0.10803218930959702,3,4.017049286630936e-05,300,1.725905576677178e-06,1718,NULL
(986+-385)>-125,>,3,0.35661035776138306,m,0.17254404723644257,{,0.06908494979143143,0.03201728314161301,7,0.010148792527616024,12,3.228213358852372e-07,2482,NULL
(763+875)>495,>,(,0.9807100296020508,=,0.018316326662898064,+,0.0005598726565949619,0.018316326662898064,2,2.00911912884294e-07,47,2.0562176814564737e-06,19,NULL
(173+443)>329,>,1,0.13882508873939514,equations,0.12446431815624237,operations,0.08207327872514725,0.004473595414310694,33,0.00010523939272388816,255,0.000671833346132189,94,NULL
(-395+130)>-880,>,_,0.230974480509758,twenty,0.09699275344610214,625,0.07035219669342041,0.03574042022228241,6,0.0012674668105319142,75,3.5500772355590016e-05,598,NULL
(-637+109)>-717,>,=,0.49570542573928833,(,0.1856425702571869,.,0.060917213559150696,0.49570542573928833,1,0.0008611546363681555,41,1.1323777471261565e-05,526,NULL
(253+174)>-84,>,chen,0.3169898986816406,2,0.2129950225353241,consequently,0.11269407719373703,0.00042817392386496067,82,0.024979524314403534,5,4.569841109969275e-07,5977,NULL
(880+307)>-784,>,3,0.37097927927970886,2,0.27396276593208313,8,0.06854891777038574,0.001113499398343265,37,0.00018837221432477236,117,1.4107262359175365e-05,403,NULL
(663+-555)>-971,>,.,0.6195182204246521,",",0.2337530106306076,+,0.052343063056468964,0.011459273286163807,4,0.0015383233549073339,13,8.768453881202731e-06,361,NULL
(732+783)>349,>,=,0.9220556616783142,",",0.033766817301511765,.,0.02888498827815056,0.9220556616783142,1,1.2632438028958859e-06,107,8.717125297152961e-07,135,NULL
(228+966)>306,>,.,0.6493110060691833,297,0.1096196323633194,",",0.08509580790996552,0.019941067323088646,6,1.0458485348863178e-06,1170,4.9246824346482754e-05,144,NULL
(-104+-73)>-331,>,∗,0.7329862117767334,×,0.08287611603736877,•,0.03826482966542244,2.5502184143988416e-05,224,0.0002680990728549659,67,0.0006136152660474181,43,NULL
(691+241)>-712,>,+,0.32262662053108215,241,0.174020454287529,2,0.15418371558189392,0.003761416068300605,16,2.7559157388168387e-05,401,3.1504127946391236e-06,1246,NULL
(355+735)>959,>,=,0.935833215713501,.,0.01959913969039917,:,0.015184654854238033,0.935833215713501,1,1.970634230019641e-06,99,1.5429197446792386e-05,39,NULL
(55+735)>-515,>,=,0.4229079782962799,reduction,0.20669369399547577,3,0.04917057231068611,0.4229079782962799,1,1.1778398402384482e-05,438,9.29945963434875e-06,510,NULL
(728+925)>-426,>,=,0.4358234703540802,72,0.3498625159263611,.,0.044200349599123,0.4358234703540802,1,0.00041382203926332295,65,6.009056505718036e-06,785,NULL
(-218+813)>-522,>,_,0.20961898565292358,+,0.189799502491951,plus,0.15381869673728943,0.08470616489648819,4,8.31334909889847e-06,669,1.759076724283659e-07,4125,NULL
(448+-276)>-359,>,2,0.3051597774028778,-,0.17369049787521362,~,0.0824228823184967,0.005095441360026598,19,7.0462583607877605e-06,180,1.3115541150909849e-06,384,NULL
(441+665)>-158,>,.,0.45700255036354065,projective,0.04626257345080376,],0.03659709170460701,0.002629081718623638,44,0.00018613312568049878,241,2.798421155603137e-05,750,NULL
(836+934)>890,>,=,0.5443243980407715,∧,0.11886841803789139,+,0.05280280113220215,0.5443243980407715,1,0.0032220915891230106,19,0.0010998385259881616,27,NULL
(494+918)>369,>,⊆,0.6587271094322205,(,0.17133423686027527,=,0.06328041851520538,0.06328041851520538,3,7.022030104053556e-07,703,1.0404381100670435e-05,150,NULL
(962+-22)>-993,>,33,0.6928725242614746,35,0.21846576035022736,=,0.02258424460887909,0.02258424460887909,3,1.7841954331743182e-06,252,1.8249418642923843e-09,5319,NULL
(819+936)>80,>,=,0.35420748591423035,",",0.18172316253185272,⊆,0.1628090739250183,0.35420748591423035,1,8.443817205261439e-05,107,2.1010888303862885e-05,193,NULL
(132+-703)>-941,>,=,0.1561775505542755,+,0.1187848448753357,-,0.09980550408363342,0.1561775505542755,1,0.0019498115871101618,44,6.881776698719477e-06,1367,NULL
(833+-321)>-802,>,m,0.33167725801467896,interpretation,0.19268454611301422,=,0.10559410601854324,0.10559410601854324,3,1.1220244232390542e-05,447,4.316731519793393e-06,760,NULL
(-452+-328)>-887,>,],0.05349485203623772,(,0.05027725175023079,[UNK],0.049862444400787354,0.0037089998368173838,42,0.0002191907406086102,296,4.304761205276009e-06,2654,NULL
(890+-505)>-141,>,3,0.3684578239917755,f,0.19946005940437317,=,0.16608424484729767,0.16608424484729767,3,0.000809902441687882,13,1.5311474271584302e-05,65,NULL
(-184+704)>237,>,page,0.5350061655044556,",",0.14636845886707306,.,0.057862162590026855,0.0020224249456077814,25,1.521741864962678e-06,1380,1.277820501854876e-06,1514,NULL
(356+32)>-183,>,66,0.11247452348470688,full,0.08791016042232513,72,0.061554182320833206,0.0007885688683018088,114,1.9980932393082185e-06,4360,1.011461904454336e-06,6140,NULL
