",",[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\boxed{783}=783,=,\,0.6836743354797363,{,0.1894819587469101,&,0.07100614905357361,0.000576942868065089,12,1.407222771376837e-05,56,8.925790098146535e-06,75,NULL
\boxed{-848}=-848,=,{,0.3773511052131653,&,0.22830820083618164,(,0.226352259516716,0.05435864254832268,4,0.0003003386373165995,21,1.2109292583772913e-05,137,NULL
\boxed{43}=43,=,&,0.929110586643219,:,0.01991097629070282,{,0.011791408993303776,0.004302996676415205,5,4.3005966290365905e-05,58,0.0016840286552906036,9,NULL
\boxed{945}=945,=,or,0.4213152825832367,",",0.37694743275642395,{,0.08216491341590881,0.0001954782201210037,50,2.437728653603699e-06,517,1.4931152918506996e-06,670,NULL
\boxed{509}=509,=,&,0.4907287657260895,1,0.21803927421569824,{,0.18025411665439606,0.00012636202154681087,31,2.908430758452596e-07,450,4.553566213871818e-06,122,NULL
\boxed{745}=745,=,{,0.5156019926071167,1,0.2013634294271469,=,0.06444843858480453,0.06444843858480453,3,8.82099357113475e-06,125,1.230862926604459e-05,100,3
\boxed{554}=554,=,{,0.5043964982032776,&,0.18184736371040344,(,0.12341779470443726,0.0011111993808299303,13,1.2385757486299553e-07,1194,4.124516692627367e-07,668,NULL
\boxed{415}=415,=,is,0.6562108993530273,of,0.052197761833667755,",",0.043284978717565536,0.017329130321741104,8,0.00020545632287394255,53,6.0128397308290005e-05,96,NULL
\boxed{192}=192,=,",",0.39309296011924744,description,0.18976184725761414,&,0.0922897607088089,0.003946961835026741,13,1.1753848411899526e-05,273,3.2222396839642897e-07,1549,NULL
\boxed{-835}=-835,=,{,0.9488679766654968,=,0.021351749077439308,(,0.016170784831047058,0.021351749077439308,2,2.851626049960032e-06,122,9.115544230553496e-07,206,2
\boxed{993}=993,=,{,0.9910923838615417,\,0.0025692039635032415,&,0.002327270805835724,1.1973988875979558e-06,27,2.148746247598865e-08,156,8.211867630336656e-09,244,NULL
\boxed{556}=556,=,&,0.5933220386505127,{,0.23789453506469727,\,0.08586209267377853,0.00017842564557213336,24,4.5760910438730207e-07,739,1.2553829265016248e-07,1492,NULL
\boxed{-884}=-884,=,{,0.9608485102653503,(,0.01054423488676548,s,0.004896155092865229,0.0027254249434918165,5,4.190226263744989e-06,172,1.283770387772165e-07,938,NULL
\boxed{516}=516,=,{,0.6108967661857605,&,0.20712333917617798,(,0.07149926573038101,0.00488287815824151,8,1.5820161252122489e-06,357,1.3716688044951297e-05,122,NULL
\boxed{709}=709,=,{,0.7707744836807251,&,0.17946277558803558,",",0.021945826709270477,2.7806710932054557e-05,30,3.16858034921097e-07,232,3.5086438288089994e-07,218,NULL
\boxed{-899}=-899,=,{,0.5632714033126831,is,0.10716147720813751,1,0.09577015042304993,0.07655659317970276,5,0.00025762792211025953,40,1.2194452210678719e-05,174,NULL
\boxed{390}=390,=,\,0.8608871102333069,&,0.12244981527328491,",",0.005279905628412962,3.1541498174192384e-05,26,6.383103823281999e-08,432,1.0257867870677728e-06,129,NULL
\boxed{506}=506,=,&,0.7666556239128113,",",0.1581660807132721,1,0.03842988982796669,1.9164303012075834e-05,60,1.3281663768793806e-07,778,3.4370140156170237e-07,465,NULL
\boxed{-202}=-202,=,2,0.2558351159095764,+,0.17372190952301025,1,0.12279482185840607,0.0004607450100593269,22,0.0004094868490938097,24,3.9033375287544914e-07,299,NULL
\boxed{919}=919,=,{,0.9820384979248047,&,0.009803718887269497,1,0.00400126725435257,1.2601621165231336e-05,23,2.1571182173829584e-07,158,5.6157492878128323e-08,307,NULL
