Formula,[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
395>-773,>,[UNK],0.3607777953147888,137,0.09263145923614502,s,0.08083035051822662,0.008367178030312061,14,0.0039746761322021484,28,2.3055339624988846e-05,505,NULL
636>15,>,67,0.24165067076683044,original,0.13865269720554352,:,0.10210493206977844,0.005227520130574703,22,0.00031236239010468125,140,0.0003851714718621224,127,NULL
528>253,>,",",0.38260242342948914,is,0.2144877165555954,253,0.14476734399795532,0.06248154491186142,5,0.0004799785674549639,40,2.7529811632120982e-05,263,NULL
454>4,>,45,0.19321268796920776,##1,0.13244974613189697,d,0.10183059424161911,0.01680433191359043,11,0.00012332721962593496,188,0.00013548579590860754,179,NULL
-62>-134,>,134,0.32026442885398865,com,0.08910724520683289,[UNK],0.08333279192447662,0.00013891566777601838,166,9.615049521016772e-07,1682,6.201637461344944e-06,737,NULL
845>-231,>,[UNK],0.2109728753566742,84,0.10865215957164764,],0.06336373090744019,0.0071023148484528065,19,0.0022554488386958838,44,2.90689458779525e-05,814,NULL
-470>-691,>,s,0.14585570991039276,equation,0.07116199284791946,-,0.050801388919353485,0.00020478572696447372,258,0.0007436966407112777,117,1.89029947250674e-07,9677,NULL
352>-463,>,com,0.47276952862739563,lines,0.11188127845525742,352,0.07903235405683517,9.71785448200535e-06,705,4.1479215724393725e-06,1056,3.745276444533374e-08,9201,NULL
-690>-916,>,66,0.19026221334934235,30,0.1384400874376297,page,0.11610204726457596,5.153959500603378e-05,357,0.02312423475086689,9,2.121730722137727e-05,569,NULL
-60>-621,>,60,0.4856228232383728,70,0.1420920342206955,61,0.09585397690534592,1.3353951544559095e-05,301,1.0272749022988137e-05,343,6.476084308815189e-07,1193,NULL
54>-298,>,com,0.11668598651885986,re,0.05302423983812332,##m,0.04951295256614685,0.004128064960241318,37,0.001839810865931213,61,0.0001195069999084808,412,NULL
880>-248,>,f,0.4014839828014374,##o,0.061892881989479065,n,0.04996960982680321,0.0018687535775825381,44,0.009042750112712383,18,5.138780352353933e-07,3393,NULL
-250>-518,>,[UNK],0.7614004611968994,com,0.033709581941366196,page,0.032405298203229904,0.000565432826988399,42,0.0021327086724340916,13,5.2959407184971496e-05,214,NULL
962>84,>,84,0.3738570809364319,36,0.10819269716739655,38,0.10661573708057404,0.00011502392590045929,111,7.262323720169661e-07,947,4.0416293245471024e-07,1259,NULL
712>-266,>,x,0.4794430434703827,self,0.11183604598045349,r,0.07952841371297836,0.0001294882531510666,164,0.00019745909958146513,134,1.2818774848710746e-05,587,NULL
413>-773,>,##ad,0.21467241644859314,new,0.11571821570396423,s,0.06388141214847565,0.0004353600670583546,153,7.424420800816733e-06,1400,6.340500902091151e-10,28724,NULL
-151>-879,>,##3,0.34748604893684387,",",0.11845268309116364,),0.11380764842033386,1.0776529961731285e-05,813,0.003663808573037386,22,9.120444133259298e-08,11523,NULL
272>-806,>,272,0.15013490617275238,index,0.09376843273639679,produced,0.06225426495075226,0.006070659961551428,27,0.0004239851259626448,185,1.572541987115983e-05,1235,NULL
-10>-314,>,##1,0.4401293396949768,##3,0.0978575050830841,1,0.08181027323007584,0.009536104276776314,10,4.943204885421437e-07,2033,3.336973364298501e-08,5797,NULL
-438>-889,>,2,0.25009608268737793,solutions,0.2268887460231781,[UNK],0.19378544390201569,7.192178600234911e-05,263,0.017425991594791412,7,1.7012036551022902e-05,574,NULL
-19>-810,>,18,0.6500769853591919,twenty,0.0258131492882967,reduction,0.024544505402445793,0.0002936438540928066,142,0.00032913818722590804,130,1.1312532421925425e-07,12228,NULL
834>-784,>,ah,0.10376346856355667,index,0.05132820084691048,1,0.0489622987806797,2.687260348466225e-06,4134,0.00016513708396814764,376,3.235751648844598e-07,11741,NULL
511>468,>,+,0.4165205955505371,–,0.30331459641456604,.,0.048155467957258224,0.0012859741691499949,27,9.081712050829083e-05,116,2.670195272003184e-06,976,NULL
907>-168,>,[UNK],0.8608359694480896,168,0.025726616382598877,180,0.019563958048820496,2.697283207453438e-06,713,8.015867933863774e-06,401,6.946390840312233e-08,5004,NULL
-328>-712,>,4,0.17274001240730286,more,0.10157660394906998,328,0.07719828188419342,2.4649367333040573e-05,1163,4.339217412052676e-07,9843,1.2865618828072911e-06,5832,NULL
219>-654,>,219,0.9419723749160767,95,0.017732800915837288,k,0.002934584626927972,0.00013297601253725588,58,1.4941942936275154e-06,725,1.1476614325545142e-08,6242,NULL
930>738,>,",",0.26166123151779175,crossings,0.22549769282341003,(,0.09411408752202988,0.030488325282931328,6,5.521719504031353e-05,468,2.7269557904219255e-05,799,NULL
-99>-574,>,99,0.42540809512138367,100,0.36328762769699097,),0.08051072061061859,3.9397091313730925e-05,115,2.3949223759700544e-07,1247,6.652793316241912e-10,10844,NULL
508>-734,>,70,0.250073105096817,##9,0.10814826190471649,y,0.05185260996222496,3.4486329241190106e-05,820,0.009352782741189003,14,3.7742947256447223e-07,9746,NULL
738>67,>,67,0.7653086185455322,72,0.17973437905311584,73,0.02066102623939514,4.301054559618933e-06,179,3.5272778404760174e-06,197,1.3087141326195706e-07,934,NULL
300>-137,>,137,0.4812105596065521,new,0.05803408473730087,4,0.047724928706884384,0.0016321494476869702,49,5.6392207625322044e-05,342,1.986011056942516e-06,1523,NULL
953>60,>,cid,0.1778842806816101,description,0.13140365481376648,way,0.06637073308229446,0.000263530615484342,171,0.0001022733049467206,292,9.732540092954878e-06,858,NULL
-425>-862,>,-,0.22492466866970062,),0.20357783138751984,·,0.09534760564565659,2.7143236991378217e-08,17938,4.8692236305214465e-06,1619,4.649829463687638e-07,5589,NULL
729>-936,>,124,0.19771569967269897,86,0.10509748756885529,expressed,0.0656447559595108,0.0009665399556979537,76,0.002233178587630391,45,6.116785243648337e-06,1918,NULL
-488>-861,>,86,0.471535325050354,index,0.15311840176582336,[UNK],0.09255464375019073,1.1906591907973052e-06,2592,6.312427285593003e-05,229,1.9835918863009283e-07,6806,NULL
521>-250,>,[UNK],0.5454185605049133,s,0.1836278885602951,of,0.11435189098119736,0.00027841911651194096,42,0.0004418410244397819,33,0.00043941347394138575,34,NULL
503>62,>,0,0.25252553820610046,v,0.112026646733284,(,0.11112019419670105,0.0004835804575122893,47,0.00020090864563826472,67,9.270154259866104e-05,87,NULL
927>-965,>,72,0.37011364102363586,85,0.0898045152425766,##7,0.053239744156599045,3.5004741221200675e-05,328,0.03410474210977554,5,0.02691367082297802,9,NULL
825>201,>,201,0.4478500783443451,!,0.39622411131858826,f,0.02718541771173477,0.004220137372612953,11,0.000314046599669382,60,0.00010251829371554777,111,NULL
646>438,>,72,0.872291088104248,second,0.03065023012459278,64,0.02308390475809574,0.00010899676271947101,55,2.1440988348331302e-05,144,3.781087070819922e-05,105,NULL
-492>-884,>,sums,0.44873812794685364,reduced,0.32322749495506287,addition,0.019766010344028473,1.0341709639760666e-06,4128,1.0610026947688311e-05,969,2.7910502353734046e-08,19738,NULL
982>388,>,yes,0.2719183564186096,38,0.04022463783621788,a,0.025893472135066986,0.012381407432258129,15,6.146212854218902e-06,2406,2.344422114219924e-07,12287,NULL
423>-53,>,or,0.5003423094749451,x,0.15851177275180817,:,0.12544934451580048,0.007795669138431549,10,3.5246102925157174e-05,192,4.948864443576895e-06,577,NULL
927>141,>,94,0.2603324353694916,…,0.1954209953546524,:,0.08647935837507248,0.013212163001298904,12,0.00035368523094803095,76,0.000267810100922361,90,NULL
671>-97,>,[UNK],0.2685905992984772,mean,0.17484958469867706,pc,0.06844747066497803,8.08936238172464e-06,895,0.00014435494085773826,201,1.1088631168831853e-07,5678,NULL
767>10,>,##9,0.2602323889732361,76,0.2123616635799408,80,0.19485023617744446,0.0001673921651672572,92,6.214340100996196e-05,168,3.522916586007341e-06,861,NULL
121>-200,>,121,0.5975663661956787,e,0.07813563942909241,0,0.07339849323034286,0.0005798777565360069,40,1.947632699739188e-05,215,1.2873643754574005e-05,264,NULL
830>532,>,],0.13345326483249664,##1,0.1294877976179123,),0.08338471502065659,0.0715332105755806,4,0.0011915642535313964,82,0.001243993523530662,80,NULL
10>-396,>,11,0.1805238425731659,38,0.12690021097660065,9,0.09539438039064407,2.172039785364177e-06,2526,9.278967809223104e-06,1182,2.722136516197793e-09,26642,NULL
-334>-502,>,yields,0.4043130576610565,responds,0.05247833579778671,334,0.051893264055252075,4.2067327740369365e-05,860,0.0010250838240608573,74,9.169707482215017e-06,2375,NULL
-302>-935,>,measurements,0.08905024826526642,calculations,0.08536367118358612,method,0.06859797984361649,2.1166904389247065e-06,4426,4.4160111428936943e-05,792,3.2367111657549685e-07,11041,NULL
860>-105,>,105,0.5745266675949097,104,0.08974441885948181,receive,0.03102756105363369,2.982128717121668e-05,419,0.012872732244431973,7,5.939568654866889e-05,275,NULL
544>187,>,=,0.6318824291229248,187,0.12044699490070343,45,0.1078362688422203,0.6318824291229248,1,7.416897278744727e-05,74,1.549741136841476e-05,184,NULL
556>380,>,37,0.24945269525051117,moments,0.09566006064414978,380,0.0826772078871727,1.2509460248111282e-05,810,1.5524602048344605e-08,14999,3.9927823536345386e-07,4018,NULL
598>-957,>,95,0.413413405418396,projection,0.1741228550672531,reduction,0.05593373626470566,9.891172112475033e-07,4044,0.00546959787607193,13,5.9778512877528556e-06,1525,NULL
928>-552,>,55,0.3368982672691345,[UNK],0.1665102243423462,reduction,0.08039355278015137,0.0014302220661193132,36,0.0001313318934990093,178,1.24222106023808e-06,1714,NULL
392>84,>,84,0.39926284551620483,9,0.18430034816265106,49,0.10026460140943527,0.0005616690032184124,48,6.665981345577165e-05,103,1.0412258006908814e-06,680,NULL
-681>-976,>,uses,0.6682786345481873,[UNK],0.042594168335199356,follows,0.033768974244594574,4.850379355048062e-06,1133,0.016160771250724792,4,2.458966946505825e-06,1629,NULL
293>-551,>,£,0.3025725185871124,o,0.05780918896198273,0,0.0576680563390255,0.000639567500911653,102,0.00017839828797150403,205,4.752628228743561e-06,1438,NULL
628>-963,>,m,0.25205451250076294,96,0.095623679459095,1,0.08905851095914841,0.000697946990840137,67,0.0067758760415017605,24,0.00018147351511288434,140,NULL
590>283,>,simulation,0.12033502012491226,cm,0.11495310813188553,),0.06450634449720383,0.00013939569180365652,300,1.4349087962273188e-07,9014,1.5673673260607757e-05,976,NULL
277>-534,>,29,0.13195587694644928,30,0.12871190905570984,277,0.10538172721862793,8.820196671877056e-05,150,1.71641886481666e-06,986,5.654650863107236e-07,1637,NULL
996>-308,>,19,0.8620932698249817,37,0.018701013177633286,[UNK],0.01823323778808117,9.802404747460969e-06,321,2.515283449611161e-05,201,2.518270214579843e-08,5213,NULL
432>75,>,75,0.8342154026031494,45,0.15095025300979614,76,0.004141766112297773,5.795155857413192e-07,205,3.338192868795886e-07,257,8.880924440290983e-08,497,NULL
733>197,>,-,0.6788501739501953,",",0.056028805673122406,:,0.04769600182771683,0.01791268214583397,9,4.437872121343389e-06,446,4.065862091451322e-10,16807,NULL
